id_group, bary_x, bary_y,bary_convex_x,bary_convex_y, speed_bary_x, speed_bary_y, popu_group, nb_group, plus-proche, time
1,186.12042,673.2616,186.12042,673.2616,-1.9278586,0.53231686,1,100,60,1
2,45.331024,725.7258,45.331024,725.7258,-0.38702378,1.895884,2,100,91,1
3,309.30045,139.18701,309.30045,139.18701,-0.34205344,-1.9705328,1,100,96,1
4,554.602,601.9496,554.602,601.9496,-1.8571196,0.7423657,1,100,35,1
5,472.60107,469.74368,472.60107,469.74368,1.6419041,-0.7955079,3,100,53,1
6,747.47986,447.3866,747.47986,447.3866,1.7359922,-0.9322823,2,100,92,1
7,497.7762,742.8501,497.7762,742.8501,-0.016191281,-1.9999344,1,100,98,1
8,430.17535,552.4702,430.17535,552.4702,1.0578911,1.6344986,2,100,79,1
9,99.53012,297.93744,99.53012,297.93744,-0.3413488,-1.9412739,2,100,49,1
10,13.665184,594.15735,13.665184,594.15735,-1.996433,0.10819906,2,100,52,1
11,894.33124,835.6614,894.33124,835.6614,1.9307426,-0.5217597,1,100,69,1
12,230.6548,106.34567,230.6548,106.34567,-1.1665612,-1.6245414,1,100,38,1
13,14.339746,440.67136,14.339746,440.67136,-0.40998077,1.0770864,4,100,21,1
14,438.17264,843.423,438.17264,843.4229,1.205047,0.7329196,4,100,7,1
15,322.83136,545.34644,322.83136,545.34644,-1.5199881,-1.1937706,3,100,79,1
16,454.99084,343.7564,454.99084,343.7564,-1.5618017,-0.7512005,3,100,50,1
17,200.7749,885.43054,200.7749,885.43054,-0.74021477,0.56716585,2,100,48,1
18,478.34842,249.04707,478.34842,249.04707,1.2873406,-1.5306058,1,100,16,1
19,357.996,744.3058,357.996,744.3057,-1.6794906,-1.0420287,3,100,33,1
20,564.58984,448.19965,564.58984,448.19965,1.2339659,1.573953,1,100,83,1
21,66.71573,426.64996,66.71573,426.64996,-0.4637615,-1.7676609,3,100,13,1
22,345.78308,292.5301,345.78308,292.5301,-1.7741272,-0.53892046,2,100,41,1
23,660.8548,857.8525,660.8548,857.8525,-1.8272856,0.8130358,1,100,25,1
24,732.95276,349.3521,732.95276,349.3521,-1.3743863,1.4174454,2,100,67,1
25,716.5517,847.0095,716.5517,847.0095,0.23895542,1.9856738,1,100,97,1
26,607.42725,21.902035,607.42725,21.902035,0.69530123,-1.8522588,2,100,55,1
27,442.57764,688.88855,442.57764,688.88855,1.9089508,-0.14935127,2,100,98,1
28,377.00443,243.21632,377.00443,243.21632,1.9742699,-0.31977868,1,100,41,1
29,222.44632,201.22586,222.44632,201.22586,1.9638985,0.37828884,1,100,81,1
30,386.29388,168.60333,386.29388,168.60333,-1.3652968,1.4239447,2,100,96,1
31,234.91591,421.6166,234.91591,421.6166,1.9235207,0.5477848,1,100,82,1
32,39.459503,240.95442,39.459503,240.95442,-1.5415436,-1.2717271,2,100,49,1
33,324.6719,793.24976,324.6719,793.24976,-0.55795574,1.920595,1,100,87,1
34,687.11176,129.44577,687.11176,129.44577,-1.9101837,-0.59262013,1,100,43,1
35,523.6174,609.7382,523.6174,609.7382,1.3662372,1.410063,2,100,4,1
36,502.93436,80.405655,502.93436,80.405655,1.2823914,-1.5347548,1,100,47,1
37,750.8237,679.0199,750.8237,679.0199,1.9718244,0.30934203,2,100,72,1
38,221.84879,33.800663,221.84879,33.800663,-1.6877176,1.0731306,1,100,12,1
39,888.9551,212.853,888.9551,212.853,-1.3703591,0.23453528,2,100,86,1
40,441.66852,56.611614,441.66852,56.611614,1.9128579,0.5839305,1,100,36,1
41,363.29272,248.31516,363.29272,248.31516,-0.061508276,-1.9765272,2,100,28,1
42,76.52888,837.5838,76.52888,837.5838,-1.6728307,0.69918716,4,100,94,1
43,665.5656,134.18909,665.5656,134.18909,-0.7818095,1.8408623,1,100,34,1
44,740.7221,123.67445,745.70825,122.70339,0.89813656,-1.6206614,4,100,34,1
45,817.38745,556.967,817.38745,556.967,0.8101274,-1.828577,1,100,65,1
46,141.18228,537.1306,141.18228,537.1306,-0.12272564,-1.9066937,3,100,52,1
47,508.84836,114.64759,508.84836,114.64759,-0.9330445,1.7690189,1,100,36,1
48,245.1525,803.56726,245.1525,803.56726,0.3966866,-1.8266267,2,100,87,1
49,60.91318,291.9524,60.91318,291.9524,-0.6735259,1.883179,1,100,9,1
50,484.6169,382.3121,484.6169,382.3121,1.01808,-1.7214857,1,100,77,1
51,316.66943,697.195,316.66943,697.195,1.012408,-1.7248275,1,100,19,1
